image_name,confidence_value,IoU_value
IMG_20180720_142731,0.917883,0.9657059139787283
IMG_20100101_022751,0.837318,0.8824919307505268
IMG_1263,0.905703,0.9500840512581692
IMG_0233,0.92866,0.9403490919709483
IMG_1251,0.799655,0.6920494311980774
IMG_1254,0.868741,0.9421872383173281
IMG_20180719_143627,0.6563555000000001,0.4328838830881842
IMG_20100101_032219,0.885137,0.9401856272381215
IMG_20100101_031805,0.897331,0.9601680372257986
IMG_20100101_031126,0.887675,0.9057663046808714
IMG_20100101_031404,0.908693,0.9828791684956375
IMG_20180810_093330,0.890507,0.9538407766244172
IMG_20180725_122231,0.87183,0.9165915916969956
IMG_20180810_092905,0.861306,0.8558798134601912
IMG_20180725_114304,0.904737,0.8902952948636603
IMG_20180811_083858,0.9152929999999999,0.9340550154971121
IMG_20180725_121427,0.89774,0.9381886519407597
IMG_20180725_120946,0.907778,0.9425235574162666
IMG_20180723_123939,0.867965,0.9635447371269684
IMG_20180724_121053,0.8546843333333333,0.9080300274727205
IMG_20180724_121406,0.924723,0.9053691056862132
IMG_20180723_124904,0.883832,0.9096746522252405
IMG_20180723_145353,0.919557,0.9239744383326887
IMG_20180723_145947,0.6068825,0.4798040651870725
IMG_20180724_121309,0.893728,0.9297142023618881
IMG_20180724_150507,0.532327,0.45721565566218153
IMG_20180724_123732,0.914262,0.9663142679839741
IMG_20180724_125716,0.916601,0.9613138120719642
IMG_20180724_124449,0.834842,0.926261938406399
IMG_20180719_125126,0.909588,0.948559637272682
IMG_20100101_033117,0.829198,0.9288497920308851
IMG_20180714_103808,0.912144,0.9444479158364497
IMG_20100101_032317,0.863975,0.8912141528789439
IMG_20100101_033637,0.8793895,0.8925470314405688
IMG_20180714_103316,0.5343163333333333,0.8608800127047388
IMG_20100101_033033,0.757752,0.9459242201859337
IMG_20180724_122357,0.867442,0.9075201966554135
IMG_20180723_123134,0.921228,0.9467057746782159
IMG_20180719_143723,0.5716265,0.7865665259643837
IMG_20180721_090506,0.900409,0.9065407539840422
